SiteFK,forest_1km,MeanLitter,MeanCanopy,MeanHerb,MeanEdge
DF,0.855832617,24,82.2,1.6,589.671741125182
ERSP,0.933829848,26,77.2,2.2,152.75134929380746
JMNP,0.725193023,28,79.8,1.6,122.46208014996608
NCBG,0.425782372,27,77.6,1.8,147.27718248395678
NCSU,0.006857143,20,84.2,1.4,54.68373810270355
UNC,0.075114679,32,74,2.4,22.74414514704056
