TreeID,CCID,CircleFK,Species
DBD,2760,PR11,Platanus occidentalis
DBE,6315,PR11,Liquidambar styraciflua
DBF,3847,PR11,Acer rubrum
BWQ,1967,UNC3,Quercus rubra
BWR,1968,UNC3,Cercis canadensis
BWS,1969,UNC3,Quercus alba
BWT,5815,UNC3,N/A
BWU,1971,UNC3,Quercus rubra
BWV,5810,UNC4,Liriodendron tulipifera
BWW,1973,UNC4,Cornus florida
BWX,1356,UNC4,Quercus falcata
BWY,1975,UNC4,Quercus falcata
BWZ,1976,UNC4,Amelanchier spp.
BXP,1992,UNC8,Nyssa sylvatica
BXQ,6791,UNC8,Ulmus alata
BXR,1994,UNC8,Ulmus alata
BXS,1995,UNC8,Ulmus alata
BXT,1996,UNC8,Ulmus spp.
BYO,2017,UNC13,Cercis canadensis
BYP,5819,UNC13,Prunus serotina
BYQ,2019,UNC13,Prunus serotina
BYR,2020,UNC13,Acer rubrum
BYS,2021,UNC13,Cornus florida
BYT,6792,UNC14,Cornus florida
BYU,2023,UNC14,Cornus florida
BYV,2024,UNC14,Liquidambar styraciflua
BYW,2025,UNC14,Liquidambar styraciflua
BYX,2026,UNC14,Quercus alba
