TreeID,CircleFK,Species,DBH
IRS,DF-1,Carpinus caroliniana,
IRR,DF-1,Carpinus caroliniana,
IRQ,DF-1,Fagus grandifolia,
IRP,DF-1,Fagus grandifolia,
IRO,DF-1,Carpinus caroliniana,
IRX,DF-2,Fagus grandifolia,
IRW,DF-2,Carpinus caroliniana,
IRV,DF-2,Fagus grandifolia,
IRU,DF-2,Fagus grandifolia,
IRT,DF-2,Fagus grandifolia,
ISC,DF-3,Fagus grandifolia,
ISB,DF-3,Fagus grandifolia,
ISA,DF-3,Fagus grandifolia,
IRZ,DF-3,Acer rubrum,
IRY,DF-3,Acer rubrum,
ISH,DF-4,Fagus grandifolia,
ISG,DF-4,Hamamelis virginiana,
ISF,DF-4,Cornus florida,
ISE,DF-4,Carpinus caroliniana,
ISD,DF-4,Acer rubrum,
ISM,DF-5,Cornus florida,
ISL,DF-5,Fagus grandifolia,
ISK,DF-5,Fagus grandifolia,
ISJ,DF-5,Cornus florida,
ISI,DF-5,Acer rubrum,
,ERSP-1,,
,ERSP-1,,
,ERSP-1,,
,ERSP-1,,
,ERSP-1,,
,ERSP-2,,
,ERSP-2,,
,ERSP-2,,
,ERSP-2,,
,ERSP-2,,
,ERSP-3,,
,ERSP-3,,
,ERSP-3,,
,ERSP-3,,
,ERSP-3,,
,ERSP-4,,
,ERSP-4,,
,ERSP-4,,
,ERSP-4,,
,ERSP-4,,
,ERSP-6,,
,ERSP-6,,
,ERSP-6,,
,ERSP-6,,
,ERSP-6,,
FDQ,JMNP-1,Acer saccharum,
FDP,JMNP-1,Carpinus caroliniana,
FDO,JMNP-1,Carpinus caroliniana,
FDN,JMNP-1,Southern sugar maple,
FDM,JMNP-1,Carpinus caroliniana,
FDV,JMNP-2,Carpinus caroliniana,
FDU,JMNP-2,Acer rubrum,
FDT,JMNP-2,Fagus grandifolia,
FDS,JMNP-2,Carpinus caroliniana,
FDR,JMNP-2,Fagus grandifolia,
FEA,JMNP-3,Fagus grandifolia,
FDZ,JMNP-3,Oxydendrum arboreum,
FDY,JMNP-3,Fagus grandifolia,
FDX,JMNP-3,Fagus grandifolia,
FDW,JMNP-3,Fagus grandifolia,
FEK,JMNP-5,Acer saccharum,
FEJ,JMNP-5,Lindera benzoin,
FEI,JMNP-5,Lindera benzoin,
FEH,JMNP-5,Acer saccharum,
FEG,JMNP-5,Acer saccharum,
FEZ,JMNP-8,Carpinus caroliniana,
FEY,JMNP-8,Fagus grandifolia,
FEX,JMNP-8,Carpinus caroliniana,
FEW,JMNP-8,Carpinus caroliniana,
FEV,JMNP-8,Acer rubrum,
DBL,NCBG-1,Lindera benzoin,
DBM,NCBG-1,Lindera benzoin,
DBN,NCBG-1,Asimina triloba,
DBO,NCBG-1,Asimina triloba,
DBP,NCBG-1,Lindera benzoin,
DCA,NCBG-4,Fagus grandifolia,
DCB,NCBG-4,Carpinus caroliniana,
DCC,NCBG-4,Fagus grandifolia,
DCD,NCBG-4,Fagus grandifolia,
DCE,NCBG-4,Acer saccharum,
DCF,NCBG-5,Carpinus caroliniana,
DCG,NCBG-5,Fagus grandifolia,
DCH,NCBG-5,Oxydendrum arboreum,
DCI,NCBG-5,Nyssa sylvatica,
DCJ,NCBG-5,Fagus grandifolia,
DCK,NCBG-6,Acer saccharum,
DCL,NCBG-6,Fagus grandifolia,
DCM,NCBG-6,Fagus grandifolia,
EQL,NCBG-6,Carpinus caroliniana,
DCO,NCBG-6,Carpinus caroliniana,
DCU,NCBG-8,Acer saccharum,
DCV,NCBG-8,Acer saccharum,
DVW,NCBG-8,Lindera benzoin,
DVX,NCBG-8,Acer saccharum,
DVY,NCBG-8,Acer saccharum,
CLQ,NCSU-2,Acer palmatum,
CLR,NCSU-2,Acer palmatum,
CLS,NCSU-2,Prunus spp.,
CLT,NCSU-2,Acer palmatum,
CLU,NCSU-2,Acer palmatum,
CLV,NCSU-3,,
CLW,NCSU-3,Hibiscus syriacus,
CLX,NCSU-3,Magnolia x loebneri,
CLY,NCSU-3,Rhododendron spp.,
CLZ,NCSU-3,Asimina triloba,
CMZ,NCSU-9,Quercus phellos,
CAN,NCSU-9,Quercus phellos,
CNB,NCSU-9,Cercis canadensis,
CNC,NCSU-9,Quercus alba,
CND,NCSU-9,Cercis canadensis,
CNE,NCSU-10,Liriodendron tulipifera,
CNF,NCSU-10,Fagus grandifolia,
CNG,NCSU-10,Acer saccharum,
CNH,NCSU-10,Quercus bicolor,
CNI,NCSU-10,Hickory spp.,
CNJ,NCSU-11,Fagus grandifolia,
CNK,NCSU-11,Carpinus caroliniana,
CNL,NCSU-11,Fagus grandifolia,
CNM,NCSU-11,Acer saccharum,
CNN,NCSU-11,Carpinus caroliniana,
CZI,PR-2,Acer rubrum,
CZJ,PR-2,Liquidambar styraciflua,
CZK,PR-2,Liquidambar styraciflua,
CZL,PR-2,Liquidambar styraciflua,
CZM,PR-2,Acer negundo,
CZS,PR-4,Acer negundo,
CZT,PR-4,Corylus americana,
CZU,PR-4,Corylus americana,
CZV,PR-4,Juglans nigra,
CZW,PR-4,Acer negundo,
DAM,PR-8,Acer leucoderme,
DAN,PR-8,Acer leucoderme,
DAO,PR-8,Carpinus caroliniana,
DAP,PR-8,Acer leucoderme,
DAQ,PR-8,Acer leucoderme,
DAR,PR-9,Acer negundo,
DAS,PR-9,Acer negundo,
DAT,PR-9,Diospyros virginiana,
DAU,PR-9,Liquidambar styraciflua,
DAV,PR-9,Liquidambar styraciflua,
DBB,PR-11,Oxydendrum arboreum,
DBC,PR-11,Acer rubrum,
DBD,PR-11,Platanus occidentalis,
DBE,PR-11,Liquidambar styraciflua,
DBF,PR-11,Acer rubrum,
BWQ,UNC-3,Quercus rubra,
BWR,UNC-3,Cercis canadensis,
BWS,UNC-3,Quercus alba,
BWT,UNC-3,N/A,
BWU,UNC-3,Quercus rubra,
BWV,UNC-4,Liriodendron tulipifera,
BWW,UNC-4,Cornus florida,
BWX,UNC-4,Quercus falcata,
BWY,UNC-4,Quercus falcata,
BWZ,UNC-4,Amelanchier spp.,
BXP,UNC-8,Nyssa sylvatica,
BXQ,UNC-8,Ulmus alata,
BXR,UNC-8,Ulmus alata,
BXS,UNC-8,Ulmus alata,
BXT,UNC-8,Ulmus spp.,
BYO,UNC-13,Cercis canadensis,
BYP,UNC-13,Prunus serotina,
BYQ,UNC-13,Prunus serotina,
BYR,UNC-13,Acer rubrum,
BYS,UNC-13,Cornus florida,
BYT,UNC-14,Cornus florida,
BYU,UNC-14,Cornus florida,
BYV,UNC-14,Liquidambar styraciflua,
BYW,UNC-14,Liquidambar styraciflua,
BYX,UNC-14,Quercus alba,
