tsn,taxon,class,subclass,infraclass,order,suborder,superfamily,family,infraorder,subfamily,genus,species,superorder,tribe,subgenus,subtribe
125930,Culicidae,Insecta,Pterygota,Neoptera,Diptera,Nematocera,NA,Culicidae,Culicomorpha,NA,NA,NA,Holometabola,NA,NA,NA
127917,Chironomidae,Insecta,Pterygota,Neoptera,Diptera,Nematocera,NA,Chironomidae,Culicomorpha,NA,NA,NA,Holometabola,NA,NA,NA
130052,Brachycera,Insecta,Pterygota,Neoptera,Diptera,Brachycera,NA,NA,NA,NA,NA,NA,Holometabola,NA,NA,NA
130150,Stratiomyidae,Insecta,Pterygota,Neoptera,Diptera,Brachycera,NA,Stratiomyidae,Stratiomyomorpha,NA,NA,NA,Holometabola,NA,NA,NA
130346,Ptecticus,Insecta,Pterygota,Neoptera,Diptera,Brachycera,NA,Stratiomyidae,Stratiomyomorpha,Sarginae,Ptecticus,NA,Holometabola,NA,NA,NA
132394,Asilidae,Insecta,Pterygota,Neoptera,Diptera,Brachycera,NA,Asilidae,Muscomorpha,NA,NA,NA,Holometabola,NA,NA,NA
136824,Dolichopodidae,Insecta,Pterygota,Neoptera,Diptera,Brachycera,NA,Dolichopodidae,Muscomorpha,NA,NA,NA,Holometabola,NA,NA,NA
141828,Conopidae,Insecta,Pterygota,Neoptera,Diptera,Brachycera,NA,Conopidae,Muscomorpha,NA,NA,NA,Holometabola,NA,NA,NA
142604,Tephritidae,Insecta,Pterygota,Neoptera,Diptera,Brachycera,NA,Tephritidae,Muscomorpha,NA,NA,NA,Holometabola,NA,NA,NA
146185,Drosophilidae,Insecta,Pterygota,Neoptera,Diptera,Brachycera,NA,Drosophilidae,Muscomorpha,NA,NA,NA,Holometabola,NA,NA,NA
146893,Ephydridae,Insecta,Pterygota,Neoptera,Diptera,Brachycera,NA,Ephydridae,Muscomorpha,NA,NA,NA,Holometabola,NA,NA,NA
147644,Chloropidae,Insecta,Pterygota,Neoptera,Diptera,Brachycera,NA,Chloropidae,Muscomorpha,NA,NA,NA,Holometabola,NA,NA,NA
150025,Muscidae,Insecta,Pterygota,Neoptera,Diptera,Brachycera,NA,Muscidae,Muscomorpha,NA,NA,NA,Holometabola,NA,NA,NA
152643,Tachinidae,Insecta,Pterygota,Neoptera,Diptera,Brachycera,NA,Tachinidae,Muscomorpha,NA,NA,NA,Holometabola,NA,NA,NA
152650,Lipoptena,Insecta,Pterygota,Neoptera,Diptera,Brachycera,NA,Hippoboscidae,Muscomorpha,Hippoboscinae,Lipoptena,NA,Holometabola,Lipoptenini,NA,NA
152741,Hymenoptera,Insecta,Pterygota,Neoptera,Hymenoptera,NA,NA,NA,NA,NA,NA,NA,Holometabola,NA,NA,NA
152747,Pamphiliidae,Insecta,Pterygota,Neoptera,Hymenoptera,Symphyta,Pamphilioidea,Pamphiliidae,NA,NA,NA,NA,Holometabola,NA,NA,NA
152867,Braconidae,Insecta,Pterygota,Neoptera,Hymenoptera,Apocrita,Ichneumonoidea,Braconidae,Terebrantes,NA,NA,NA,Holometabola,NA,NA,NA
153360,Ichneumonidae,Insecta,Pterygota,Neoptera,Hymenoptera,Apocrita,Ichneumonoidea,Ichneumonidae,Terebrantes,NA,NA,NA,Holometabola,NA,NA,NA
153770,Eulophidae,Insecta,Pterygota,Neoptera,Hymenoptera,Apocrita,Chalcidoidea,Eulophidae,Terebrantes,NA,NA,NA,Holometabola,NA,NA,NA
153968,Torymidae,Insecta,Pterygota,Neoptera,Hymenoptera,Apocrita,Chalcidoidea,Torymidae,Terebrantes,NA,NA,NA,Holometabola,NA,NA,NA
154008,Eurytomidae,Insecta,Pterygota,Neoptera,Hymenoptera,Apocrita,Chalcidoidea,Eurytomidae,Terebrantes,NA,NA,NA,Holometabola,NA,NA,NA
154021,Chalcididae,Insecta,Pterygota,Neoptera,Hymenoptera,Apocrita,Chalcidoidea,Chalcididae,Terebrantes,NA,NA,NA,Holometabola,NA,NA,NA
154193,Formicidae,Insecta,Pterygota,Neoptera,Hymenoptera,Apocrita,Vespoidea,Formicidae,Aculeata,NA,NA,NA,Holometabola,NA,NA,NA
154194,Camponotus,Insecta,Pterygota,Neoptera,Hymenoptera,Apocrita,Vespoidea,Formicidae,Aculeata,Formicinae,Camponotus,NA,Holometabola,Camponotini,NA,NA
154198,Camponotus pennsylvanicus,Insecta,Pterygota,Neoptera,Hymenoptera,Apocrita,Vespoidea,Formicidae,Aculeata,Formicinae,Camponotus,Camponotus pennsylvanicus,Holometabola,Camponotini,NA,NA
154211,Formica,Insecta,Pterygota,Neoptera,Hymenoptera,Apocrita,Vespoidea,Formicidae,Aculeata,Formicinae,Formica,NA,Holometabola,Formicini,NA,NA
154217,Lasius,Insecta,Pterygota,Neoptera,Hymenoptera,Apocrita,Vespoidea,Formicidae,Aculeata,Formicinae,Lasius,NA,Holometabola,Lasiini,NA,NA
154224,Paratrechina,Insecta,Pterygota,Neoptera,Hymenoptera,Apocrita,Vespoidea,Formicidae,Aculeata,Formicinae,Paratrechina,NA,Holometabola,Lasiini,NA,NA
154237,Solenopsis,Insecta,Pterygota,Neoptera,Hymenoptera,Apocrita,Vespoidea,Formicidae,Aculeata,Myrmicinae,Solenopsis,NA,Holometabola,Solenopsidini,NA,NA
154243,Tapinoma,Insecta,Pterygota,Neoptera,Hymenoptera,Apocrita,Vespoidea,Formicidae,Aculeata,Dolichoderinae,Tapinoma,NA,Holometabola,NA,NA,NA
154245,Tetramorium,Insecta,Pterygota,Neoptera,Hymenoptera,Apocrita,Vespoidea,Formicidae,Aculeata,Myrmicinae,Tetramorium,NA,Holometabola,Tetramoriini,NA,NA
154267,Polistes fuscatus,Insecta,Pterygota,Neoptera,Hymenoptera,Apocrita,Vespoidea,Vespidae,Aculeata,NA,Polistes,Polistes fuscatus,Holometabola,NA,NA,NA
154310,Sphecidae,Insecta,Pterygota,Neoptera,Hymenoptera,Apocrita,Apoidea,Sphecidae,Aculeata,NA,NA,NA,Holometabola,NA,NA,NA
154394,Apidae,Insecta,Pterygota,Neoptera,Hymenoptera,Apocrita,Apoidea,Apidae,Aculeata,NA,NA,NA,Holometabola,NA,NA,NA
154409,Diplopoda,Diplopoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154416,Polydesmida,Diplopoda,Helminthomorpha,NA,Polydesmida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154418,Julida,Diplopoda,Helminthomorpha,NA,Julida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154419,Spirobolida,Diplopoda,Helminthomorpha,NA,Spirobolida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
185556,Gnaphosidae,Euchelicerata,Arachnida,NA,Araneae,NA,NA,Gnaphosidae,NA,NA,NA,NA,NA,NA,NA,NA
186036,Forficula auricularia,Insecta,Pterygota,Neoptera,Dermaptera,Eudermaptera,Forficuloidea,Forficulidae,NA,Forficulinae,Forficula,Forficula auricularia,Polyneoptera,NA,NA,NA
186048,Anisolabis maritima,Insecta,Pterygota,Neoptera,Dermaptera,Catadermaptera,Pygidicranoidea,Carcinophoridae,NA,Carcinophorinae,Anisolabis,Anisolabis maritima,Polyneoptera,NA,NA,NA
206377,Philoscia muscorum,Malacostraca,Eumalacostraca,NA,Isopoda,Oniscidea,Oniscoidea,Philosciidae,Ligiamorpha,NA,Philoscia,Philoscia muscorum,Peracarida,NA,NA,NA
555700,Lithobiidae,Chilopoda,Pleurostigmophora,NA,Lithobiomorpha,NA,NA,Lithobiidae,NA,NA,NA,NA,NA,NA,NA,NA
563885,Myriapoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568964,Siphonophorida,Diplopoda,Helminthomorpha,NA,Siphonophorida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568965,Callipodida,Diplopoda,Helminthomorpha,NA,Callipodida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
569659,Narceus americanus,Diplopoda,Helminthomorpha,NA,Spirobolida,NA,NA,Spirobolidae,NA,Spirobolinae,Narceus,Narceus americanus,NA,NA,NA,NA
570770,Apheloria tigana,Diplopoda,Helminthomorpha,NA,Polydesmida,Chelodesmidea,NA,Xystodesmidae,NA,NA,Apheloria,Apheloria tigana,NA,Aphelorini,NA,NA
573831,Ponerinae,Insecta,Pterygota,Neoptera,Hymenoptera,Apocrita,Vespoidea,Formicidae,Aculeata,Ponerinae,NA,NA,Holometabola,NA,NA,NA
573918,Dolichoderus,Insecta,Pterygota,Neoptera,Hymenoptera,Apocrita,Vespoidea,Formicidae,Aculeata,Dolichoderinae,Dolichoderus,NA,Holometabola,NA,NA,NA
573923,Forelius,Insecta,Pterygota,Neoptera,Hymenoptera,Apocrita,Vespoidea,Formicidae,Aculeata,Dolichoderinae,Forelius,NA,Holometabola,NA,NA,NA
573953,Brachymyrmex,Insecta,Pterygota,Neoptera,Hymenoptera,Apocrita,Vespoidea,Formicidae,Aculeata,Formicinae,Brachymyrmex,NA,Holometabola,Brachymyrmecini,NA,NA
574031,Aphaenogaster,Insecta,Pterygota,Neoptera,Hymenoptera,Apocrita,Vespoidea,Formicidae,Aculeata,Myrmicinae,Aphaenogaster,NA,Holometabola,Pheidolini,NA,NA
574052,Crematogaster,Insecta,Pterygota,Neoptera,Hymenoptera,Apocrita,Vespoidea,Formicidae,Aculeata,Myrmicinae,Crematogaster,NA,Holometabola,Crematogastrini,NA,NA
574150,Stenamma,Insecta,Pterygota,Neoptera,Hymenoptera,Apocrita,Vespoidea,Formicidae,Aculeata,Myrmicinae,Stenamma,NA,Holometabola,Stenammini,NA,NA
574195,Hypoponera,Insecta,Pterygota,Neoptera,Hymenoptera,Apocrita,Vespoidea,Formicidae,Aculeata,Ponerinae,Hypoponera,NA,Holometabola,Ponerini,NA,NA
574209,Ponera,Insecta,Pterygota,Neoptera,Hymenoptera,Apocrita,Vespoidea,Formicidae,Aculeata,Ponerinae,Ponera,NA,Holometabola,Ponerini,NA,NA
575041,Linepithema humile,Insecta,Pterygota,Neoptera,Hymenoptera,Apocrita,Vespoidea,Formicidae,Aculeata,Dolichoderinae,Linepithema,Linepithema humile,Holometabola,NA,NA,NA
575746,Camponotus castaneus,Insecta,Pterygota,Neoptera,Hymenoptera,Apocrita,Vespoidea,Formicidae,Aculeata,Formicinae,Camponotus,Camponotus castaneus,Holometabola,Camponotini,NA,NA
577971,Prenolepis imparis,Insecta,Pterygota,Neoptera,Hymenoptera,Apocrita,Vespoidea,Formicidae,Aculeata,Formicinae,Prenolepis,Prenolepis imparis,Holometabola,Lasiini,NA,NA
