tsn,taxon,class,subclass,infraclass,order,suborder,superfamily,family,infraorder,subfamily,genus,species,superorder,tribe,subgenus,subtribe
870185,Verrucosa arenata,Euchelicerata,Arachnida,NA,Araneae,NA,NA,Araneidae,NA,NA,Verrucosa,Verrucosa arenata,NA,NA,NA,NA
871515,Anyphaenidae,Euchelicerata,Arachnida,NA,Araneae,NA,NA,Anyphaenidae,NA,NA,NA,NA,NA,NA,NA,NA
871518,Clubionidae,Euchelicerata,Arachnida,NA,Araneae,NA,NA,Clubionidae,NA,NA,NA,NA,NA,NA,NA,NA
871519,Corinnidae,Euchelicerata,Arachnida,NA,Araneae,NA,NA,Corinnidae,NA,NA,NA,NA,NA,NA,NA,NA
871532,Oxyopidae,Euchelicerata,Arachnida,NA,Araneae,NA,NA,Oxyopidae,NA,NA,NA,NA,NA,NA,NA,NA
871533,Philodromidae,Euchelicerata,Arachnida,NA,Araneae,NA,NA,Philodromidae,NA,NA,NA,NA,NA,NA,NA,NA
871537,Salticidae,Euchelicerata,Arachnida,NA,Araneae,NA,NA,Salticidae,NA,NA,NA,NA,NA,NA,NA,NA
871543,Thomisidae,Euchelicerata,Arachnida,NA,Araneae,NA,NA,Thomisidae,NA,NA,NA,NA,NA,NA,NA,NA
872750,Peckhamia,Euchelicerata,Arachnida,NA,Araneae,NA,NA,Salticidae,NA,NA,Peckhamia,NA,NA,NA,NA,NA
875557,Castianeira longipalpa,Euchelicerata,Arachnida,NA,Araneae,NA,NA,Corinnidae,NA,NA,Castianeira,Castianeira longipalpa,NA,NA,NA,NA
875611,Castianeira variata,Euchelicerata,Arachnida,NA,Araneae,NA,NA,Corinnidae,NA,NA,Castianeira,Castianeira variata,NA,NA,NA,NA
881342,Hibana gracilis,Euchelicerata,Arachnida,NA,Araneae,NA,NA,Anyphaenidae,NA,NA,Hibana,Hibana gracilis,NA,NA,NA,NA
887078,Phrurotimpus alarius,Euchelicerata,Arachnida,NA,Araneae,NA,NA,Corinnidae,NA,NA,Phrurotimpus,Phrurotimpus alarius,NA,NA,NA,NA
904027,Arrenodes minutus,Insecta,Pterygota,Neoptera,Coleoptera,Polyphaga,Curculionoidea,Brentidae,Cucujiformia,Brentinae,Arrenodes,Arrenodes minutus,Holometabola,Arrhenodini,NA,NA
914185,Collembola,Collembola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
914213,Holometabola,Insecta,Pterygota,Neoptera,NA,NA,NA,NA,NA,NA,NA,NA,Holometabola,NA,NA,NA
914220,Mantodea,Insecta,Pterygota,Neoptera,Mantodea,NA,NA,NA,NA,NA,NA,NA,Polyneoptera,NA,NA,NA
926453,Phyllophaga,Insecta,Pterygota,Neoptera,Coleoptera,Polyphaga,Scarabaeoidea,Scarabaeidae,Scarabeiformia,Melolonthinae,Phyllophaga,NA,Holometabola,Melolonthini,NA,NA
928929,Popillia japonica,Insecta,Pterygota,Neoptera,Coleoptera,Polyphaga,Scarabaeoidea,Scarabaeidae,Scarabeiformia,Rutelinae,Popillia,Popillia japonica,Holometabola,Anomalini,NA,Popilliina
93249,Armadillidium,Malacostraca,Eumalacostraca,NA,Isopoda,Oniscidea,Armadilloidea,Armadillidiidae,Ligiamorpha,NA,Armadillidium,NA,Peracarida,NA,NA,NA
93250,Armadillidium vulgare,Malacostraca,Eumalacostraca,NA,Isopoda,Oniscidea,Armadilloidea,Armadillidiidae,Ligiamorpha,NA,Armadillidium,Armadillidium vulgare,Peracarida,NA,NA,NA
93267,Porcellio,Malacostraca,Eumalacostraca,NA,Isopoda,Oniscidea,Armadilloidea,Porcellionidae,Ligiamorpha,NA,Porcellio,NA,Peracarida,NA,NA,NA
93269,Porcellio scaber,Malacostraca,Eumalacostraca,NA,Isopoda,Oniscidea,Armadilloidea,Porcellionidae,Ligiamorpha,NA,Porcellio,Porcellio scaber,Peracarida,NA,NA,NA
956002,Prosapia bicincta,Insecta,Pterygota,Neoptera,Hemiptera,Auchenorrhyncha,Cercopoidea,Cercopidae,Cicadomorpha,Cercopinae,Prosapia,Prosapia bicincta,Paraneoptera,NA,NA,NA
99208,Insecta,Insecta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99225,Machilidae,Insecta,Archaeognatha,NA,Archaeognatha,NA,NA,Machilidae,NA,NA,NA,NA,NA,NA,NA,NA
99237,Collembola,Collembola,NA,NA,Collembola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
998435,Psocodea,Insecta,Pterygota,Neoptera,Psocodea,NA,NA,NA,NA,NA,NA,NA,Paraneoptera,NA,NA,NA
NA,Microtonus sericans,Insecta,NA,NA,Coleoptera,Polyphaga,Tenebrionoidea,Melandryidae,NA,Melandryinae,Microtonus,Microtonus sericans,,Hypulini,NA,NA
NA,Isomira pulla,Insecta,NA,NA,Coleoptera,Polyphaga,Tenebrionoidea,Tenebrionidae,NA,Alleculinae,Isomira,Isomira pulla,NA,NA,NA,Gonoderina
NA,Isomira sericea,Insecta,NA,NA,Coleoptera,Polyphaga,Tenebrionoidea,Tenebrionidae,NA,Alleculinae,Isomira,Isomira sericea,NA,NA,NA,Gonoderina
NA,Isomira,Insecta,NA,NA,Coleoptera,Polyphaga,Tenebrionoidea,Tenebrionidae,NA,Alleculinae,Isomira,NA,NA,NA,NA,Gonoderina
NA,Grylloprociphilus imbricator,Insecta,NA,NA,Hemiptera,Sternorrhyncha,NA,Aphididae,NA,Eriosomatinae,Grylloprociphilus,Grylloprociphilus imbricator,NA,NA,NA,NA
NA,Horistonotus curiatus,Insecta,NA,NA,Coleoptera,Polyphaga,Elateroidea,Elateridae,NA,Cardiophorinae,Horistonotus,Horistonotus curiatus,NA,NA,NA,NA
NA,Platydracus,Insecta,NA,NA,Coleoptera,Polyphaga,Staphylinoidea,Staphylinidae,NA,Staphylininae,Platydracus,NA,NA,Staphylinini,NA,Staphylinina
NA,Temnothorax,Insecta,NA,NA,Hymenoptera,Apocrita,Vespoidea,Formicidae,NA,Myrmicinae,Temnothorax,NA,NA,Crematogastrini,NA,NA
NA,Ectobiidae,Insecta,NA,NA,Blattodea,NA,Blaberoidea,Ectobiidae,NA,NA,NA,NA,NA,NA,NA,NA
154420,Spirostreptida,Diplopoda,Helminthomorpha,NA,Spirostreptida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
583704,Brachyponera chinensis,Insecta,Pterygota,Neoptera,Hymenoptera,Apocrita,NA,Formicidae,NA,Ponerinae,Brachyponera,Brachyponera chinensis,NA,Ponerini,NA,NA
